Number,Verse
120,"Matthew 24:2 2 “Do you see all these things?” he asked. “Truly I tell you, not one stone here will be left on another; every one will be thrown down.”"
121,"Matthew 24:4-51 Watch out that no one deceives you. 5 For many will come in my name, claiming, ‘I am the Messiah,’ and will deceive many. 6 You will hear of wars and rumors of wars, but see to it that you are not alarmed. Such things must happen, but the end is still to come. 7 Nation will rise against nation, and kingdom against kingdom. There will be famines and earthquakes in various places. 8 All these are the beginning of birth pains. 9 “Then you will be handed over to be persecuted and put to death, and you will be hated by all nations because of me. 10 At that time many will turn away from the faith and will betray and hate each other, 11 and many false prophets will appear and deceive many people. 12 Because of the increase of wickedness, the love of most will grow cold, 13 but the one who stands firm to the end will be saved. 14 And this gospel of the kingdom will be preached in the whole world as a testimony to all nations, and then the end will come. 15 “So when you see standing in the holy place ‘the abomination that causes desolation, spoken of through the prophet Daniel—let the reader understand— 16 then let those who are in Judea flee to the mountains. 17 Let no one on the housetop go down to take anything out of the house. 18 Let no one in the field go back to get their cloak. 19 How dreadful it will be in those days for pregnant women and nursing mothers! 20 Pray that your flight will not take place in winter or on the Sabbath. 21 For then there will be great distress, unequaled from the beginning of the world until now—and never to be equaled again. 22 “If those days had not been cut short, no one would survive, but for the sake of the elect those days will be shortened. 23 At that time if anyone says to you, ‘Look, here is the Messiah!’ or, ‘There he is!’ do not believe it. 24 For false messiahs and false prophets will appear and perform great signs and wonders to deceive, if possible, even the elect. 25 See, I have told you ahead of time. 26 “So if anyone tells you, ‘There he is, out in the wilderness,’ do not go out; or, ‘Here he is, in the inner rooms,’ do not believe it. 27 For as lightning that comes from the east is visible even in the west, so will be the coming of the Son of Man. 28 Wherever there is a carcass, there the vultures will gather. 29 “Immediately after the distress of those days “‘the sun will be darkened, and the moon will not give its light; the stars will fall from the sky, and the heavenly bodies will be shaken.’ 30 “Then will appear the sign of the Son of Man in heaven. And then all the peoples of the earth will mourn when they see the Son of Man coming on the clouds of heaven, with power and great glory. 31 And he will send his angels with a loud trumpet call, and they will gather his elect from the four winds, from one end of the heavens to the other. 32 “Now learn this lesson from the fig tree: As soon as its twigs get tender and its leaves come out, you know that summer is near. 33 Even so, when you see all these things, you know that it is near, right at the door. 34 Truly I tell you, this generation will certainly not pass away until all these things have happened. 35 Heaven and earth will pass away, but my words will never pass away. 36 “But about that day or hour no one knows, not even the angels in heaven, nor the Son, but only the Father. 37 As it was in the days of Noah, so it will be at the coming of the Son of Man. 38 For in the days before the flood, people were eating and drinking, marrying and giving in marriage, up to the day Noah entered the ark; 39 and they knew nothing about what would happen until the flood came and took them all away. That is how it will be at the coming of the Son of Man. 40 Two men will be in the field; one will be taken and the other left. 41 Two women will be grinding with a hand mill; one will be taken and the other left. 42 “Therefore keep watch, because you do not know on what day your Lord will come. 43 But understand this: If the owner of the house had known at what time of night the thief was coming, he would have kept watch and would not have let his house be broken into. 44 So you also must be ready, because the Son of Man will come at an hour when you do not expect him. 45 “Who then is the faithful and wise servant, whom the master has put in charge of the servants in his household to give them their food at the proper time? 46 It will be good for that servant whose master finds him doing so when he returns. 47 Truly I tell you, he will put him in charge of all his possessions. 48 But suppose that servant is wicked and says to himself, ‘My master is staying away a long time,’ 49 and he then begins to beat his fellow servants and to eat and drink with drunkards. 50 The master of that servant will come on a day when he does not expect him and at an hour he is not aware of. 51 He will cut him to pieces and assign him a place with the hypocrites, where there will be weeping and gnashing of teeth."
122,"Matthew 25:1-46 1 “At that time the kingdom of heaven will be like ten virgins who took their lamps and went out to meet the bridegroom. 2 Five of them were foolish and five were wise. 3 The foolish ones took their lamps but did not take any oil with them. 4 The wise ones, however, took oil in jars along with their lamps. 5 The bridegroom was a long time in coming, and they all became drowsy and fell asleep. 6 “At midnight the cry rang out: ‘Here’s the bridegroom! Come out to meet him!’ 7 “Then all the virgins woke up and trimmed their lamps. 8 The foolish ones said to the wise, ‘Give us some of your oil; our lamps are going out.’ 9 “‘No,’ they replied, ‘there may not be enough for both us and you. Instead, go to those who sell oil and buy some for yourselves.’ 10 “But while they were on their way to buy the oil, the bridegroom arrived. The virgins who were ready went in with him to the wedding banquet. And the door was shut. 11 “Later the others also came. ‘Lord, Lord,’ they said, ‘open the door for us!’ 12 “But he replied, ‘Truly I tell you, I don’t know you.’ 13 “Therefore keep watch, because you do not know the day or the hour. 14 “Again, it will be like a man going on a journey, who called his servants and entrusted his wealth to them. 15 To one he gave five bags of gold, to another two bags, and to another one bag, each according to his ability. Then he went on his journey. 16 The man who had received five bags of gold went at once and put his money to work and gained five bags more. 17 So also, the one with two bags of gold gained two more. 18 But the man who had received one bag went off, dug a hole in the ground and hid his master’s money. 19 “After a long time the master of those servants returned and settled accounts with them. 20 The man who had received five bags of gold brought the other five. ‘Master,’ he said, ‘you entrusted me with five bags of gold. See, I have gained five more.’ 21 “His master replied, ‘Well done, good and faithful servant! You have been faithful with a few things; I will put you in charge of many things. Come and share your master’s happiness!’ 22 “The man with two bags of gold also came. ‘Master,’ he said, ‘you entrusted me with two bags of gold; see, I have gained two more.’ 23 “His master replied, ‘Well done, good and faithful servant! You have been faithful with a few things; I will put you in charge of many things. Come and share your master’s happiness!’ 24 “Then the man who had received one bag of gold came. ‘Master,’ he said, ‘I knew that you are a hard man, harvesting where you have not sown and gathering where you have not scattered seed. 25 So I was afraid and went out and hid your gold in the ground. See, here is what belongs to you.’ 26 “His master replied, ‘You wicked, lazy servant! So you knew that I harvest where I have not sown and gather where I have not scattered seed? 27 Well then, you should have put my money on deposit with the bankers, so that when I returned I would have received it back with interest. 28 “‘So take the bag of gold from him and give it to the one who has ten bags. 29 For whoever has will be given more, and they will have an abundance. Whoever does not have, even what they have will be taken from them. 30 And throw that worthless servant outside, into the darkness, where there will be weeping and gnashing of teeth.’ 31 “When the Son of Man comes in his glory, and all the angels with him, he will sit on his glorious throne. 32 All the nations will be gathered before him, and he will separate the people one from another as a shepherd separates the sheep from the goats. 33 He will put the sheep on his right and the goats on his left. 34 “Then the King will say to those on his right, ‘Come, you who are blessed by my Father; take your inheritance, the kingdom prepared for you since the creation of the world. 35 For I was hungry and you gave me something to eat, I was thirsty and you gave me something to drink, I was a stranger and you invited me in, 36 I needed clothes and you clothed me, I was sick and you looked after me, I was in prison and you came to visit me.’ 37 “Then the righteous will answer him, ‘Lord, when did we see you hungry and feed you, or thirsty and give you something to drink? 38 When did we see you a stranger and invite you in, or needing clothes and clothe you? 39 When did we see you sick or in prison and go to visit you?’ 40 “The King will reply, ‘Truly I tell you, whatever you did for one of the least of these brothers and sisters of mine, you did for me.’ 41 “Then he will say to those on his left, ‘Depart from me, you who are cursed, into the eternal fire prepared for the devil and his angels. 42 For I was hungry and you gave me nothing to eat, I was thirsty and you gave me nothing to drink, 43 I was a stranger and you did not invite me in, I needed clothes and you did not clothe me, I was sick and in prison and you did not look after me.’ 44 “They also will answer, ‘Lord, when did we see you hungry or thirsty or a stranger or needing clothes or sick or in prison, and did not help you?’ 45 “He will reply, ‘Truly I tell you, whatever you did not do for one of the least of these, you did not do for me.’ 46 “Then they will go away to eternal punishment, but the righteous to eternal life.”"
123,"Matthew 26:2 2 “As you know, the Passover is two days away—and the Son of Man will be handed over to be crucified.”"
124,"Matthew 26:10-13 Why are you bothering this woman? She has done a beautiful thing to me. 11 The poor you will always have with you, but you will not always have me. 12 When she poured this perfume on my body, she did it to prepare me for burial. 13 Truly I tell you, wherever this gospel is preached throughout the world, what she has done will also be told, in memory of her."
125,"Matthew 26:18 “Go into the city to a certain man and tell him, ‘The Teacher says: My appointed time is near. I am going to celebrate the Passover with my disciples at your house.’”"
126,"Matthew 26:21 “Truly I tell you, one of you will betray me.”"
127,Matthew 26:23-24 “The one who has dipped his hand into the bowl with me will betray me. 24 The Son of Man will go just as it is written about him. But woe to that man who betrays the Son of Man! It would be better for him if he had not been born.”
128,Matthew 26:25 “You have said so.”
129,Matthew 26:26 “Take and eat; this is my body.”
130,"Matthew 26:27-29 “Drink from it, all of you. 28 This is my blood of the covenant, which is poured out for many for the forgiveness of sins. 29 I tell you, I will not drink from this fruit of the vine from now on until that day when I drink it new with you in my Father’s kingdom.”"
131,"Matthew 26:31-32 “This very night you will all fall away on account of me, for it is written: “‘I will strike the shepherd, and the sheep of the flock will be scattered.’ 32 But after I have risen, I will go ahead of you into Galilee.”"
132,"Matthew 26:34 34 “Truly I tell you,” “this very night, before the rooster crows, you will disown me three times.”"
133,Matthew 26:36 “Sit here while I go over there and pray.” “My soul is overwhelmed with sorrow to the point of death. Stay here and keep watch with me.”
134,Matthew 26:38 “My soul is overwhelmed with sorrow to the point of death. Stay here and keep watch with me.”
135,"Matthew 26:39 “My Father, if it is possible, may this cup be taken from me. Yet not as I will, but as you will.”"
136,"Matthew 26:40-41 “Couldn’t you men keep watch with me for one hour?” 41 “Watch and pray so that you will not fall into temptation. The spirit is willing, but the flesh is weak.”"
137,"Matthew 26:42 “My Father, if it is not possible for this cup to be taken away unless I drink it, may your will be done.”"
138,"Matthew 26:45-46 “Are you still sleeping and resting? Look, the hour has come, and the Son of Man is delivered into the hands of sinners. 46 Rise! Let us go! Here comes my betrayer!”"
139,"Matthew 26:50 “Do what you came for, friend.”"
140,"Matthew 26:52-54 52 “Put your sword back in its place,” “for all who draw the sword will die by the sword. 53 Do you think I cannot call on my Father, and he will at once put at my disposal more than twelve legions of angels? 54 But how then would the Scriptures be fulfilled that say it must happen in this way?”"
141,"Matthew 26:55-56 “Am I leading a rebellion, that you have come out with swords and clubs to capture me? Every day I sat in the temple courts teaching, and you did not arrest me. 56 But this has all taken place that the writings of the prophets might be fulfilled.”"
142,"Matthew 26:64 64 “You have said so,” “But I say to all of you: From now on you will see the Son of Man sitting at the right hand of the Mighty One and coming on the clouds of heaven.”"
143,"Matthew 26:75 “Before the rooster crows, you will disown me three times.”"
144,"Matthew 27:11 “You have said so,”"
145,"Matthew 27:46 “Eli, Eli, lema sabachthani?” “My God, my God, why have you forsaken me?”"
146,Matthew 27:63 ‘After three days I will rise again.’
147,"Matthew 28:9 “Greetings,”"
148,Matthew 28:10 “Do not be afraid. Go and tell my brothers to go to Galilee; there they will see me.”
149,"Matthew 28:18-20 “All authority in heaven and on earth has been given to me. 19 Therefore go and make disciples of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit, 20 and teaching them to obey everything I have commanded you. And surely I am with you always, to the very end of the age.”"
150,"Mark 1:15 15 “The time has come,” “The kingdom of God has come near. Repent and believe the good news!”"
151,"Mark 1:17 17 “Come, follow me,” “and I will send you out to fish for people.”"
152,Mark 1:25 25 “Be quiet!” “Come out of him!”
153,Mark 1:38 “Let us go somewhere else—to the nearby villages—so I can preach there also. That is why I have come.”
154,"Mark 1:41 “I am willing, Be clean!”"
155,"Mark 1:44 44 “See that you don’t tell this to anyone. But go, show yourself to the priest and offer the sacrifices that Moses commanded for your cleansing, as a testimony to them.”"
156,"Mark 2:5 “Son, your sins are forgiven.”"
157,"Mark 2:8-11 “Why are you thinking these things? 9 Which is easier: to say to this paralyzed man, ‘Your sins are forgiven,’ or to say, ‘Get up, take your mat and walk’? 10 But I want you to know that the Son of Man has authority on earth to forgive sins.” So he said to the man, 11 “I tell you, get up, take your mat and go home."
158,Mark 2:14 Follow me.
159,"Mark 2:17 “It is not the healthy who need a doctor, but the sick. I have not come to call the righteous, but sinners.”"
160,"Mark 2:19-22 “How can the guests of the bridegroom fast while he is with them? They cannot, so long as they have him with them. 20 But the time will come when the bridegroom will be taken from them, and on that day they will fast. 21 “No one sews a patch of unshrunk cloth on an old garment. Otherwise, the new piece will pull away from the old, making the tear worse. 22 And no one pours new wine into old wineskins. Otherwise, the wine will burst the skins, and both the wine and the wineskins will be ruined. No, they pour new wine into new wineskins.”"
161,"Mark 2:25-26 “Have you never read what David did when he and his companions were hungry and in need? 26 In the days of Abiathar the high priest, he entered the house of God and ate the consecrated bread, which is lawful only for priests to eat. And he also gave some to his companions.”"
162,"Mark 2:27-28 “The Sabbath was made for man, not man for the Sabbath. 28 So the Son of Man is Lord even of the Sabbath.”"
163,Mark 3:3 “Stand up in front of everyone.”
164,"Mark 3:4 “Which is lawful on the Sabbath: to do good or to do evil, to save life or to kill?”"
165,Mark 3:5 “Stretch out your hand.”
166,"Mark 3:23-29 “How can Satan drive out Satan? 24 If a kingdom is divided against itself, that kingdom cannot stand. 25 If a house is divided against itself, that house cannot stand. 26 And if Satan opposes himself and is divided, he cannot stand; his end has come. 27 In fact, no one can enter a strong man’s house without first tying him up. Then he can plunder the strong man’s house. 28 Truly I tell you, people can be forgiven all their sins and every slander they utter, 29 but whoever blasphemes against the Holy Spirit will never be forgiven; they are guilty of an eternal sin.”"
167,Mark 3:33 33 “Who are my mother and my brothers?”
168,Mark 3:34-35 “Here are my mother and my brothers! 35 Whoever does God’s will is my brother and sister and mother.”
169,"Mark 4:3-9 3 “Listen! A farmer went out to sow his seed. 4 As he was scattering the seed, some fell along the path, and the birds came and ate it up. 5 Some fell on rocky places, where it did not have much soil. It sprang up quickly, because the soil was shallow. 6 But when the sun came up, the plants were scorched, and they withered because they had no root. 7 Other seed fell among thorns, which grew up and choked the plants, so that they did not bear grain. 8 Still other seed fell on good soil. It came up, grew and produced a crop, some multiplying thirty, some sixty, some a hundred times.” 9 “Whoever has ears to hear, let them hear.”"
170,"Mark 4:11-32 “The secret of the kingdom of God has been given to you. But to those on the outside everything is said in parables 12 so that, “‘they may be ever seeing but never perceiving, and ever hearing but never understanding; otherwise they might turn and be forgiven!’” 13 “Don’t you understand this parable? How then will you understand any parable? 14 The farmer sows the word. 15 Some people are like seed along the path, where the word is sown. As soon as they hear it, Satan comes and takes away the word that was sown in them. 16 Others, like seed sown on rocky places, hear the word and at once receive it with joy. 17 But since they have no root, they last only a short time. When trouble or persecution comes because of the word, they quickly fall away. 18 Still others, like seed sown among thorns, hear the word; 19 but the worries of this life, the deceitfulness of wealth and the desires for other things come in and choke the word, making it unfruitful. 20 Others, like seed sown on good soil, hear the word, accept it, and produce a crop—some thirty, some sixty, some a hundred times what was sown.” 21 “Do you bring in a lamp to put it under a bowl or a bed? Instead, don’t you put it on its stand? 22 For whatever is hidden is meant to be disclosed, and whatever is concealed is meant to be brought out into the open. 23 If anyone has ears to hear, let them hear.” 24 “Consider carefully what you hear,” he continued. “With the measure you use, it will be measured to you—and even more. 25 Whoever has will be given more; whoever does not have, even what they have will be taken from them.” 26 “This is what the kingdom of God is like. A man scatters seed on the ground. 27 Night and day, whether he sleeps or gets up, the seed sprouts and grows, though he does not know how. 28 All by itself the soil produces grain—first the stalk, then the head, then the full kernel in the head. 29 As soon as the grain is ripe, he puts the sickle to it, because the harvest has come.” 30 “What shall we say the kingdom of God is like, or what parable shall we use to describe it? 31 It is like a mustard seed, which is the smallest of all seeds on earth. 32 Yet when planted, it grows and becomes the largest of all garden plants, with such big branches that the birds can perch in its shade.”"
171,Mark 4:35 “Let us go over to the other side.”
172,Mark 4:39 “Quiet! Be still!”
173,Mark 4:40 “Why are you so afraid? Do you still have no faith?”
174,"Mark 5:8 “Come out of this man, you impure spirit!”"
175,Mark 5:9 What is your name?
176,"Mark 5:19 “Go home to your own people and tell them how much the Lord has done for you, and how he has had mercy on you.”"
177,Mark 5:30 “Who touched my clothes?”
178,Mark 5:31 ‘Who touched me?’
179,"Mark 5:34 “Daughter, your faith has healed you. Go in peace and be freed from your suffering.”"
180,Mark 5:36 “Don’t be afraid; just believe.”
181,Mark 5:39 “Why all this commotion and wailing? The child is not dead but asleep.”
182,"Mark 5:41 “Talitha koum!” “Little girl, I say to you, get up!”"
183,"Mark 6:4 “A prophet is not without honor except in his own town, among his relatives and in his own home.”"
184,"Mark 6:8-11 “Take nothing for the journey except a staff—no bread, no bag, no money in your belts. 9 Wear sandals but not an extra shirt. 10 Whenever you enter a house, stay there until you leave that town. 11 And if any place will not welcome you or listen to you, leave that place and shake the dust off your feet as a testimony against them.”"
185,Mark 6:31 “Come with me by yourselves to a quiet place and get some rest.”
186,Mark 6:37 “You give them something to eat.”
187,Mark 6:38 38 “How many loaves do you have?” “Go and see.”
188,Mark 6:50 “Take courage! It is I. Don’t be afraid.”
189,"Mark 7:6-13 “Isaiah was right when he prophesied about you hypocrites; as it is written: “‘These people honor me with their lips, but their hearts are far from me. 7 They worship me in vain; their teachings are merely human rules.’ 8 You have let go of the commands of God and are holding on to human traditions.” 9 “You have a fine way of setting aside the commands of God in order to observe your own traditions! 10 For Moses said, ‘Honor your father and mother,’and, ‘Anyone who curses their father or mother is to be put to death.’ 11 But you say that if anyone declares that what might have been used to help their father or mother is Corban (that is, devoted to God)— 12 then you no longer let them do anything for their father or mother. 13 Thus you nullify the word of God by your tradition that you have handed down. And you do many things like that.”"
190,"Mark 7:14-16 “Listen to me, everyone, and understand this. 15 Nothing outside a person can defile them by going into them. Rather, it is what comes out of a person that defiles them.”"
191,"Mark 7:18-23 18 “Are you so dull?” he asked. “Don’t you see that nothing that enters a person from the outside can defile them? 19 For it doesn’t go into their heart but into their stomach, and then out of the body.” 20 He went on: “What comes out of a person is what defiles them. 21 For it is from within, out of a person’s heart, that evil thoughts come—sexual immorality, theft, murder, 22 adultery, greed, malice, deceit, lewdness, envy, slander, arrogance and folly. 23 All these evils come from inside and defile a person.”"
192,"Mark 7:27 27 “First let the children eat all they want,” “for it is not right to take the children’s bread and toss it to the dogs.”"
193,"Mark 7:29 “For such a reply, you may go; the demon has left your daughter.”"
194,Mark 7:34 “Ephphatha!”
195,"Mark 8:2-3 2 “I have compassion for these people; they have already been with me three days and have nothing to eat. 3 If I send them home hungry, they will collapse on the way, because some of them have come a long distance.”"
196,Mark 8:5 5 “How many loaves do you have?”
197,"Mark 8:12 “Why does this generation ask for a sign? Truly I tell you, no sign will be given to it.”"
198,"Mark 8:15 15 “Be careful,” “Watch out for the yeast of the Pharisees and that of Herod.”"
199,"Mark 8:17-19 “Why are you talking about having no bread? Do you still not see or understand? Are your hearts hardened? 18 Do you have eyes but fail to see, and ears but fail to hear? And don’t you remember? 19 When I broke the five loaves for the five thousand, how many basketfuls of pieces did you pick up?”"
200,"Mark 8:20 20 “And when I broke the seven loaves for the four thousand, how many basketfuls of pieces did you pick up?”"
201,Mark 8:21 “Do you still not understand?”
202,Mark 8:23 “Do you see anything?”
203,Mark 8:26 “Don’t even go into the village.”
204,Mark 8:27 “Who do people say I am?”
205,Mark 8:29 29 “But what about you?” “Who do you say I am?”
206,"Mark 8:33 “Get behind me, Satan!” he said. “You do not have in mind the concerns of God, but merely human concerns.”"
207,"Mark 8:34-38 “Whoever wants to be my disciple must deny themselves and take up their cross and follow me. 35 For whoever wants to save their life will lose it, but whoever loses their life for me and for the gospel will save it. 36 What good is it for someone to gain the whole world, yet forfeit their soul? 37 Or what can anyone give in exchange for their soul? 38 If anyone is ashamed of me and my words in this adulterous and sinful generation, the Son of Man will be ashamed of them when he comes in his Father’s glory with the holy angels.”"
208,"Mark 9:1 “Truly I tell you, some who are standing here will not taste death before they see that the kingdom of God has come with power.”"
209,"Mark 9:12-13 “To be sure, Elijah does come first, and restores all things. Why then is it written that the Son of Man must suffer much and be rejected? 13 But I tell you, Elijah has come, and they have done to him everything they wished, just as it is written about him.”"
210,Mark 9:16 16 “What are you arguing with them about?”
211,"Mark 9:19 19 “You unbelieving generation,” “how long shall I stay with you? How long shall I put up with you? Bring the boy to me.”"
212,Mark 9:21 “How long has he been like this?”
213,Mark 9:23 23 “‘If you can’?” “Everything is possible for one who believes.”
214,"Mark 9:25 “You deaf and mute spirit,” “I command you, come out of him and never enter him again.”"
215,Mark 9:29 “This kind can come out only by prayer.”
216,"Mark 9:31 “The Son of Man is going to be delivered into the hands of men. They will kill him, and after three days he will rise.”"
217,Mark 9:33 “What were you arguing about on the road?”
218,"Mark 9:35 “Anyone who wants to be first must be the very last, and the servant of all.”"
219,Mark 9:37 37 “Whoever welcomes one of these little children in my name welcomes me; and whoever welcomes me does not welcome me but the one who sent me.”
220,"Mark 9:39-50 39 “Do not stop him,” “For no one who does a miracle in my name can in the next moment say anything bad about me, 40 for whoever is not against us is for us. 41 Truly I tell you, anyone who gives you a cup of water in my name because you belong to the Messiah will certainly not lose their reward. 42 “If anyone causes one of these little ones—those who believe in me—to stumble, it would be better for them if a large millstone were hung around their neck and they were thrown into the sea. 43 If your hand causes you to stumble, cut it off. It is better for you to enter life maimed than with two hands to go into hell, where the fire never goes out. [44] 45 And if your foot causes you to stumble, cut it off. It is better for you to enter life crippled than to have two feet and be thrown into hell. [46] 47 And if your eye causes you to stumble, pluck it out. It is better for you to enter the kingdom of God with one eye than to have two eyes and be thrown into hell, 48 where “‘the worms that eat them do not die, and the fire is not quenched.’ 49 Everyone will be salted with fire. 50 “Salt is good, but if it loses its saltiness, how can you make it salty again? Have salt among yourselves, and be at peace with each other.”"
221,Mark 10:3 3 “What did Moses command you?”
222,"Mark 10:5-9 5 “It was because your hearts were hard that Moses wrote you this law,” 6 “But at the beginning of creation God ‘made them male and female.’ 7 ‘For this reason a man will leave his father and mother and be united to his wife, 8 and the two will become one flesh.’ So they are no longer two, but one flesh. 9 Therefore what God has joined together, let no one separate.”"
223,"Mark 10:11-12 “Anyone who divorces his wife and marries another woman commits adultery against her. 12 And if she divorces her husband and marries another man, she commits adultery.”"
224,"Mark 10:14-15 “Let the little children come to me, and do not hinder them, for the kingdom of God belongs to such as these. 15 Truly I tell you, anyone who will not receive the kingdom of God like a little child will never enter it.”"
225,"Mark 10:18-19 18 “Why do you call me good?” “No one is good—except God alone. 19 You know the commandments: ‘You shall not murder, you shall not commit adultery, you shall not steal, you shall not give false testimony, you shall not defraud, honor your father and mother.’”"
226,"Mark 10:21 “One thing you lack,” “Go, sell everything you have and give to the poor, and you will have treasure in heaven. Then come, follow me.”"
227,Mark 10:23 How hard it is for the rich to enter the kingdom of God!”
228,"Mark 10:24-25 “Children, how hard it is to enter the kingdom of God! 25 It is easier for a camel to go through the eye of a needle than for someone who is rich to enter the kingdom of God.”"
229,"Mark 10:27 “With man this is impossible, but not with God; all things are possible with God.”"
230,"Mark 10:29-31 29 “Truly I tell you,” “no one who has left home or brothers or sisters or mother or father or children or fields for me and the gospel 30 will fail to receive a hundred times as much in this present age: homes, brothers, sisters, mothers, children and fields—along with persecutions—and in the age to come eternal life. 31 But many who are first will be last, and the last first.”"
231,"Mark 10:33-34 33 “We are going up to Jerusalem,” “and the Son of Man will be delivered over to the chief priests and the teachers of the law. They will condemn him to death and will hand him over to the Gentiles, 34 who will mock him and spit on him, flog him and kill him. Three days later he will rise.”"
232,Mark 10:36 36 “What do you want me to do for you?”
233,"Mark 10:38 38 “You don’t know what you are asking,” “Can you drink the cup I drink or be baptized with the baptism I am baptized with?”"
234,"Mark 10:39-40 “You will drink the cup I drink and be baptized with the baptism I am baptized with, 40 but to sit at my right or left is not for me to grant. These places belong to those for whom they have been prepared.”"
235,"Mark 10:42-45 “You know that those who are regarded as rulers of the Gentiles lord it over them, and their high officials exercise authority over them. 43 Not so with you. Instead, whoever wants to become great among you must be your servant, 44 and whoever wants to be first must be slave of all. 45 For even the Son of Man did not come to be served, but to serve, and to give his life as a ransom for many.”"
236,Mark 10:49 “Call him.”
237,Mark 10:51 51 “What do you want me to do for you?”
238,"Mark 10:52 52 “Go,” “your faith has healed you.”"
239,"Mark 11:2-3 “Go to the village ahead of you, and just as you enter it, you will find a colt tied there, which no one has ever ridden. Untie it and bring it here. 3 If anyone asks you, ‘Why are you doing this?’ say, ‘The Lord needs it and will send it back here shortly.’”"
240,Mark 11:14 “May no one ever eat fruit from you again.”
241,Mark 11:17 “Is it not written: ‘My house will be called a house of prayer for all nations’? But you have made it ‘a den of robbers.’”
242,"Mark 11:22-26 22 “Have faith in God,” 23 “Truly I tell you, if anyone says to this mountain, ‘Go, throw yourself into the sea,’ and does not doubt in their heart but believes that what they say will happen, it will be done for them. 24 Therefore I tell you, whatever you ask for in prayer, believe that you have received it, and it will be yours. 25 And when you stand praying, if you hold anything against anyone, forgive them, so that your Father in heaven may forgive you your sins.”"
243,"Mark 11:29-30 “I will ask you one question. Answer me, and I will tell you by what authority I am doing these things. 30 John’s baptism—was it from heaven, or of human origin? Tell me!”"
244,Mark 11:33 “Neither will I tell you by what authority I am doing these things.”
245,"Mark 12:1-11 “A man planted a vineyard. He put a wall around it, dug a pit for the winepress and built a watchtower. Then he rented the vineyard to some farmers and moved to another place. 2 At harvest time he sent a servant to the tenants to collect from them some of the fruit of the vineyard. 3 But they seized him, beat him and sent him away empty-handed. 4 Then he sent another servant to them; they struck this man on the head and treated him shamefully. 5 He sent still another, and that one they killed. He sent many others; some of them they beat, others they killed. 6 “He had one left to send, a son, whom he loved. He sent him last of all, saying, ‘They will respect my son.’ 7 “But the tenants said to one another, ‘This is the heir. Come, let’s kill him, and the inheritance will be ours.’ 8 So they took him and killed him, and threw him out of the vineyard. 9 “What then will the owner of the vineyard do? He will come and kill those tenants and give the vineyard to others. 10 Haven’t you read this passage of Scripture: “‘The stone the builders rejected has become the cornerstone; 11 the Lord has done this, and it is marvelous in our eyes’?”"
246,Mark 12:15 “Why are you trying to trap me?” “Bring me a denarius and let me look at it.” that are God's.
247,Mark 12:17 “Give back to Caesar what is Caesar’s and to God what is God’s.”
248,"Mark 12:24-27 “Are you not in error because you do not know the Scriptures or the power of God? 25 When the dead rise, they will neither marry nor be given in marriage; they will be like the angels in heaven. 26 Now about the dead rising—have you not read in the Book of Moses, in the account of the burning bush, how God said to him, ‘I am the God of Abraham, the God of Isaac, and the God of Jacob’? 27 He is not the God of the dead, but of the living. You are badly mistaken!”"
249,"Mark 12:29-31 29 “The most important one,” “is this: ‘Hear, O Israel: The Lord our God, the Lord is one. 30 Love the Lord your God with all your heart and with all your soul and with all your mind and with all your strength.’ 31 The second is this: ‘Love your neighbor as yourself.’ There is no commandment greater than these.”"
250,Mark 12:34 “You are not far from the kingdom of God.”
251,"Mark 12:35-37 “Why do the teachers of the law say that the Messiah is the son of David? 36 David himself, speaking by the Holy Spirit, declared: “‘The Lord said to my Lord: “Sit at my right hand until I put your enemies under your feet.”’ 37 David himself calls him ‘Lord.’ How then can he be his son?”"
252,"Mark 12:38-40 “Watch out for the teachers of the law. They like to walk around in flowing robes and be greeted with respect in the marketplaces, 39 and have the most important seats in the synagogues and the places of honor at banquets. 40 They devour widows’ houses and for a show make lengthy prayers. These men will be punished most severely.”"
253,"Mark 12:43-44 “Truly I tell you, this poor widow has put more into the treasury than all the others. 44 They all gave out of their wealth; but she, out of her poverty, put in everything—all she had to live on.”"
254,Mark 13:2 2 “Do you see all these great buildings?” “Not one stone here will be left on another; every one will be thrown down.”
